Applicability,Service,Reporting period,Section,Indicator,Scope,Value
Only for VLOPs and VLOSEs,,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,TOTAL,97153476.49999985
Only for VLOPs and VLOSEs,,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,AT,2188589.33333333
Only for VLOPs and VLOSEs,,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,BE,3592130.83333333
Only for VLOPs and VLOSEs,,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,BG,1617338.5
Only for VLOPs and VLOSEs,,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,HR,673602.166666666
Only for VLOPs and VLOSEs,,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,CY,148609
Only for VLOPs and VLOSEs,,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,CZ,1298965
Only for VLOPs and VLOSEs,,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,DK,2705111
Only for VLOPs and VLOSEs,,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,EE,280033.833333333
Only for VLOPs and VLOSEs,,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,FI,1686842.83333333
Only for VLOPs and VLOSEs,,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,FR,28565554.3333333
Only for VLOPs and VLOSEs,,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,DE,19845716.6666666
Only for VLOPs and VLOSEs,,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,GR,988013.5
Only for VLOPs and VLOSEs,,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,HU,1124161
Only for VLOPs and VLOSEs,,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,IE,1991796.83333333
Only for VLOPs and VLOSEs,,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,IT,3643079.5
Only for VLOPs and VLOSEs,,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,LV,356376.833333333
Only for VLOPs and VLOSEs,,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,LT,521983.833333333
Only for VLOPs and VLOSEs,,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,LU,199106.666666666
Only for VLOPs and VLOSEs,,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,MT,86596.8333333333
Only for VLOPs and VLOSEs,,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,NL,6844016.33333333
Only for VLOPs and VLOSEs,,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,PL,5664398.5
Only for VLOPs and VLOSEs,,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,PT,1056152.16666666
Only for VLOPs and VLOSEs,,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,RO,2880213
Only for VLOPs and VLOSEs,,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,SK,601185.833333333
Only for VLOPs and VLOSEs,,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,SI,468053.333333333
Only for VLOPs and VLOSEs,,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,ES,3642769.33333333
Only for VLOPs and VLOSEs,,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,SE,4483079.5
