Applicability,Service,Indicator,Value
All,Snap,Name of the service provider,Snap Inc.
All,Snap,Date of the publication of the report,46113
All,Snap,Date of the publication of the latest previous report,46080
All,Snap,Starting date of reporting period,45839
All,Snap,Ending date of reporting period,46022
